Altium Designer Pick and Place Locations
C:\Repo\cnc_projects\STM32F446CE_CNC_BOARD\Project Outputs for FLEXI_HAL_2000\FLEXI_HAL_2000_UPLOAD_GERBERS_A4\Pick Place\FLEXI_HAL_2000_CAM_OUTPUT_A4.txt

========================================================================================================================
File Design Information:

Date:       03-08-22
Time:       11:32
Revision:   3607a5cc18939c10a6c6433affdf817dc8ca3d51
Variant:    FULL_PLACE
Units used: mil

Designator Comment                                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
Logo2      "Expatria Technologies"                     TopLayer    Expatria-Logo                 3952.302      2020.019      315      ""                                                                                                               
C33        100nF                                       TopLayer    0603_C                        240.354       2696.850      180      "Chip capacitors"                                                                                                
C21        22uF                                        TopLayer    0805_C                        3799.213      1264.764      270      "Chip capacitors"                                                                                                
C20        10uF                                        TopLayer    1206_C                        3690.945      1259.843      270      "Chip capacitors"                                                                                                
C19        10uF                                        TopLayer    1206_C                        3464.567      1259.843      270      "Chip capacitors"                                                                                                
C14        1uF                                         TopLayer    0603_C                        1186.024      2687.008      0        "Chip capacitors"                                                                                                
C13        100nF                                       TopLayer    0603_C                        1363.189      2687.008      0        "Chip capacitors"                                                                                                
C5         100nF                                       TopLayer    0603_C                        2711.614      2322.835      0        "Chip capacitors"                                                                                                
C4         100nF                                       TopLayer    0603_C                        3331.693      1225.394      90       "Chip capacitors"                                                                                                
U3         EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   4424.212      1240.158      90       "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
U2_PH_DR   EL357N(B)(TA)-G                             TopLayer    SOP-4_P2.54                   2568.898      2529.528      270      "OPTOISOLATOR 3.75KV TRANS 4-SOP"                                                                                
R30        "510O ±1%"                                  TopLayer    0603_R                        2746.850      1870.079      180      "Chip resistor"                                                                                                  
P1         "Header 2"                                  TopLayer    HDR1X2                        3065.157      178.740       180      "Header, 2-Pin"                                                                                                  
L3         "220O @ 100MHz 1 2A"                        TopLayer    0805_C                        3233.268      615.158       270      "220O @ 100MHz 1 2A 150mO 0805 Ferrite Beads ROHS"                                                               
L2         "33 uH"                                     TopLayer    INDPM7366X300N                3562.992      964.567       90       "33uH ±20% 2A 270mO SMD,6.6x7.3x3.0mm Power Inductors RoHS"                                                      
L1         "220O @ 100MHz 1 2A"                        TopLayer    0805_C                        3351.968      575.787       180      "220O @ 100MHz 1 2A 150mO 0805 Ferrite Beads ROHS"                                                               
D3         SS54                                        TopLayer    SMA(DO-214AC)_S1              3582.677      684.055       180      "40V 5A 550mV@5A"                                                                                                
C62        100uF                                       TopLayer    WCAP-ASLI_D6.3H7.7            3134.843      393.701       180      "-45?~+105? 2000hrs@105? 100uF 7.7mm 35V 6.3mm ±20% SMD,6.3x7.7mm Aluminum Electrolytic Capacitors - SMD ROHS"   
